	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60
ABAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17032.0	12236.0	86317.0	134000.0	28991.0	63009.0	15875.0	127510.0	24460.0	66984.0	25036.0	104710.0	17142.0	18302.0	91732.0	79183.0	233760.0	186530.0	518000.0	525230.0	929660.0	1411100.0	2688400.0	4147300.0	3269700.0	2101200.0	1156900.0	488190.0	52520.0	0.0	22636.0	51203.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ME2	0.0	0.0	23953.0	39712.0	188920.0	74282.0	109290.0	47452.0	1211200.0	1665700.0	1486000.0	1171900.0	719320.0	686880.0	567480.0	1098100.0	654220.0	1776200.0	2463100.0	3051300.0	1796700.0	1528400.0	1254800.0	2123600.0	5700500.0	16180000.0	10051000.0	3792500.0	1959500.0	869000.0	833680.0	1483800.0	12276000.0	648590.0	1242600.0	1185200.0	1127500.0	723360.0	444000.0	0.0	3892.8	0.0	0.0	0.0	11296.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADA	0.0	0.0	0.0	0.0	297710.0	0.0	0.0	0.0	99941.0	236060.0	41940.0	106950.0	116780.0	0.0	57514.0	140260.0	43476.0	380750.0	0.0	0.0	325570.0	42794.0	0.0	0.0	945380.0	3299600.0	3378000.0	1535800.0	1046600.0	2184900.0	4391600.0	2845500.0	1890700.0	1346700.0	605750.0	278180.0	145110.0	340960.0	0.0	0.0	0.0	0.0	0.0	85122.0	107320.0	559950.0	647490.0	169180.0	129950.0	121790.0	149720.0	27257.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
USE1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	239310.0	0.0	0.0	159930.0	0.0	0.0	118850.0	119870.0	0.0	81179.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CUL4B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	287130.0	26299.0	611770.0	298520.0	73509.0	44506.0	85259.0	21014.0	55397.0	48354.0	47278.0	703760.0	264940.0	73047.0	26004.0	53175.0	17658.0	15191.0	0.0	0.0	0.0	0.0	0.0	9443.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25403.0	0.0	0.0	0.0	0.0	13441.0	0.0	0.0	0.0	0.0	0.0
NT5C2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100850.0	0.0	0.0	37615.0	0.0	0.0	42117.0	93728.0	54301.0	107740.0	0.0	0.0	46904.0	0.0	0.0	0.0	0.0	45940.0	83467.0	76648.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALG6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36148.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CUL5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23337.0	40654.0	36180.0	66063.0	149790.0	159810.0	188620.0	61324.0	23990.0	20119.0	49882.0	328310.0	607060.0	442090.0	131410.0	33630.0	57676.0	43655.0	0.0	9571.2	0.0	0.0	0.0	42794.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50705.0	40722.0	0.0	118010.0	24965.0	0.0	0.0	0.0	0.0	0.0
SEC23IP	13336.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	188850.0	70692.0	66776.0	8607.0	78765.0	73323.0	0.0	68099.0	32585.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5563.5	0.0	0.0	0.0
NPEPL1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	130510.0	44847.0	0.0	163570.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38599.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71849.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
