	Gene	Description
A0A075B6U7	TRAJ23	T cell receptor alpha joining 23 (Fragment)
A0A2R8YED5	OR5BS1P	Olfactory receptor
TM213	TMEM213	Transmembrane protein 213
YK042		Putative uncharacterized protein ENSP00000347057
YF016		Putative UPF0607 protein ENSP00000332738
YA034		Putative UPF0607 protein ENSP00000383783
YV023		Putative uncharacterized protein ENSP00000383309
HPF1L		Putative histone PARylation factor 1-like
YQ019		Uncharacterized protein ENSP00000382042
FOXO6	FOXO6	Forkhead box protein O6
LORF2		LINE-1 retrotransposable element ORF2 protein
TAAR5	TAAR5	Trace amine-associated receptor 5
PAGE1	PAGE1	P antigen family member 1
DGKI	DGKI	Diacylglycerol kinase iota
SC24D	SEC24D	Protein transport protein Sec24D
HYEP	EPHX1	Epoxide hydrolase 1
CCYL3	CCNYL3	Putative cyclin-Y-like protein 3
PIRT	PIRT	Phosphoinositide-interacting protein
YJ018		Putative uncharacterized protein FLJ43185
SKIL	SKIL	Ski-like protein
F261	PFKFB1	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1
K2C4	KRT4	Keratin, type II cytoskeletal 4
NFKB1	NFKB1	Nuclear factor NF-kappa-B p105 subunit
PRDX5	PRDX5	Peroxiredoxin-5, mitochondrial
HXC12	HOXC12	Homeobox protein Hox-C12
QCR1	UQCRC1	Cytochrome b-c1 complex subunit 1, mitochondrial
SOX11	SOX11	Transcription factor SOX-11
NAA10	NAA10	N-alpha-acetyltransferase 10
ACY2	ASPA	Aspartoacylase
NRIP1	NRIP1	Nuclear receptor-interacting protein 1
RNAS9	RNASE9	Inactive ribonuclease-like protein 9
IF4G2	EIF4G2	Eukaryotic translation initiation factor 4 gamma 2
DSG1	DSG1	Desmoglein-1
SPEM2	SPEM2	Uncharacterized protein SPEM2
GAGE5	GAGE5	G antigen 5
JIP2	MAPK8IP2	C-Jun-amino-terminal kinase-interacting protein 2
GAB1	GAB1	GRB2-associated-binding protein 1
PNOC	PNOC	Prepronociceptin
CCB42		Putative chemokine-related protein B42
YK041		Putative uncharacterized protein ENSP00000334305
YJ016		Putative uncharacterized protein C10orf88-like
P4R3B	PPP4R3B	Serine/threonine-protein phosphatase 4 regulatory subunit 3B
DACT2	DACT2	Dapper homolog 2
B2L15	BCL2L15	Bcl-2-like protein 15
MAGI3	MAGI3	Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3
PRAM5	PRAMEF5	PRAME family member 5
MORN5	MORN5	MORN repeat-containing protein 5
FRG2	FRG2	Protein FRG2
GRHL2	GRHL2	Grainyhead-like protein 2 homolog
GGT6	GGT6	Glutathione hydrolase 6
SHSA2	SHISA2	Protein shisa-2 homolog
YS025		Putative uncharacterized protein FLJ45684
PPR3F	PPP1R3F	Protein phosphatase 1 regulatory subunit 3F
YK032		Putative uncharacterized protein FLJ44636
YC006		Uncharacterized protein FLJ43738
YK004		Putative uncharacterized protein FLJ42569
YS045		Putative uncharacterized protein FLJ42213
5HT3D	HTR3D	5-hydroxytryptamine receptor 3D
PXL2C	PRXL2C	Peroxiredoxin-like 2C
CA2D4	CACNA2D4	Voltage-dependent calcium channel subunit alpha-2/delta-4
NANGN	NANOGNB	NANOG neighbor homeobox
YB049		Putative uncharacterized protein FLJ44553
ALPK2	ALPK2	Alpha-protein kinase 2
EST1A	SMG6	Telomerase-binding protein EST1A
NAA40	NAA40	N-alpha-acetyltransferase 40
HPS6	HPS6	Hermansky-Pudlak syndrome 6 protein
HORN	HRNR	Hornerin
WFDC8	WFDC8	WAP four-disulfide core domain protein 8
OSCAR	OSCAR	Osteoclast-associated immunoglobulin-like receptor
CO054	C15orf54	Putative uncharacterized protein C15orf54
CLC1A	CLEC1A	C-type lectin domain family 1 member A
YI018		Uncharacterized protein FLJ76381
O14L1	OR14L1P	Putative olfactory receptor 14L1
TITIN	TTN	Titin
HYAS2	HAS2	Hyaluronan synthase 2
M4K1	MAP4K1	Mitogen-activated protein kinase kinase kinase kinase 1
CC049	C3orf49	Putative uncharacterized protein C3orf49
CA147	C1orf147	Uncharacterized protein C1orf147
GL1D1	GLT1D1	Glycosyltransferase 1 domain-containing protein 1
ATOH8	ATOH8	Protein atonal homolog 8
VGLL1	VGLL1	Transcription cofactor vestigial-like protein 1
YK016		Putative uncharacterized protein MGC13053
O10A2	OR10A2	Olfactory receptor 10A2
